"Unsupported action given","Действие не поддерживается"
"Order payment is not factoring004","Метод оплаты заказа не рассрочка 0-0-4"
"Unsupported %1 status received","Передан не поддерживаемый статус %1"
"Status is missing or is not a string","Поле status не указано или не является строкой"
"BillNumber is missing or is not a string","Поле billNumber не указано или не является строкой"
"PreappId is missing or is not a string","Поле preappId не указано или не является строкой"
"Factoring 0-0-4","Рассрочка 0-0-4"
"Place Order","Заказать"
Enabled,Включен
Yes,Да
No,Нет
Title,Название
Description,Описание
Logo,Логотип
"Extensions: jpg, jpeg, gif, png","Расширения: jpg, jpeg, gif, png"
"New Order Status","Статус Новых Заказов"
"Override default status for new orders","Переопределить статус нового заказа по-умолчанию"
"Paid Order Status","Статус Оплаченных Заказов"
"Declined Order Status","Статус Неоплаченных Заказов"
"Delete File","Удалить файл"
"Min amount of shopping is %1. %2 is not enough.", "Минимальная сумма заказа %1. Не хватает %2."
"Max amount of shopping is %1. %2 is exceeded.", "Максимальная сумма заказа %1. Превышает %2."
"Payment Gateway Type", "Вид интерфейса клиентского пути"
"Redirect", "Перенаправление"
"Modal", "Модальное окно"
